ID,2020 Food Sales,2020 FS Adjust,2021 Food Sales,2021 FS Adjust,2020 Total Sales,2020 TS Adjust,2021 Total Sales,2021 TS Adjust,2020 FS divided by TS,2021 FS divided by TS,BrandLogos,Comments,Company GHG Name,Company Foreign,DateEndFinancial2020,DateEndFinancial2021,DateEnd10k,DateEndGhg,Exclusions,ExclusionsText,GhgPermaLink,GhgReportArea,GhgReportName,GhgReportNotes,GhgReportUrl,LogoDownCo,NameChangeToParent,Parent,Public,Rank,RankIndustry,RankRevenues,RealZero,RevenuesArea,RevenuesGhgCo,S&P500,SasbIndustry,SasbIndustryShort,Scope1Emit,Scope2EmitLocation,Scope2EmitMarket,Scope2EmitUndifferentiated,Scope2Total,Scope1+2Reported,Scope1+2Total,Scope1+2Undiff,Scope1+2/Revenues,Subsidiary,Website,YearGhgData,YearRevenuesData,brands
66,2000,estimated,2000,estimated,6100,,6100,estimated,0.327868852,0.327868852,y,,"OSI Group, LLC",no,12/31/2020,12/31/2021,,12/31/2021,no,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,6100,,"Meat, Poultry & Dairy",,,,,123553,123553,yes,280611,280611,46.00180328,,www.osigroup.com#http://www.osigroup.com#,2021,,1
67,2000,estimated,2000,estimated,2000,estimated,2000,estimated,1,1,y,2021 Revenue should be 30bn USD for parent; emissions are for parent,CJ Cheiljedang Corporation,yes,12/31/2020,12/31/2021,,12/31/2022,no,,,,Verification Statement,"2020 data only as of 11/25/2022; scope 1, 2, 3 combined; no date",,yes,yes,"CJ Foods USA Inc (subsidiary of CJ America, Inc., which is sub of CJ Cheiljedang Corporation)",yes,,,,,,30000,,Processed Foods,,207951,,,221423,221423,yes,429374,,14.31246667,Schwan's Co.,www.schwanscompany.com#https://www.schwanscompany.com/#,2022,,19
68,1748,carryover,1917,,3461,,3933,,0.505056342,0.487414188,y,,Brown-Forman Corp.,no,4/30/2021,4/30/2022,4/30/2022,4/30/2023,yes,CO2 emissions from fermentation processes and natural gas consumption from leased office spaces,,,Verification Statement,2020 data only as of 11/21/2022,,yes,,_none,yes,,,,,,3933,yes,Alcoholic Beverages,,150435,59420,11953,,11953,yes,162388,,41.28858378,,www.brown-forman.com#http://www.brown-forman.com#,2022,,22
70,1700,estimated,1815,estimated,1700,,1815,estimated,1,1,y,,"Grassland Dairy Products, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,1815,,Agricultural Products,,,,,,,,,,,,www.grassland.com#http://www.grassland.com#,,,7
71,1800,estimated,1800,estimated,6000,estimated,6000,estimated,0.3,0.3,y,,J.R. Simplot Company,no,8/31/2020,8/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,6000,,Processed Foods,,,,,,,,,,,,www.simplot.com#http://www.simplot.com#,,,25
72,1349,,1777,,1349,,1777,,1,1,y,,"Cal-Maine Foods, Inc.",no,5/29/2021,5/29/2022,5/28/2022,5/28/2022,no,,,,_no report as of 11/21/2022,no 2020 data,,yes,,_none,yes,,,,,,1349,,"Meat, Poultry & Dairy",,,,,,,yes,400429,400429,296.8339511,,"www.calmainefoods.com#http://	www.calmainefoods.com#",2021,,6
73,1848,adjusted,1773,adjusted,2054,,2054,,0.899707887,0.863193768,y,,Hain Celestial Group Inc.,no,6/30/2020,6/30/2021,6/30/2022,6/30/2023,no,,,,ESG Report,,,yes,,_none,yes,,,,,,2054,,Processed Foods,,35941,14792,7680,,7680,yes,43621,,21.23709834,,www.hain.com#http://www.hain.com#,2022,,36
74,1750,estimated,1750,estimated,3500,estimated,3500,estimated,0.5,0.5,y,,"Leprino Foods Company, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data (2021 reports intensity only),,yes,,_none,no,,,,,,3500,,"Meat, Poultry & Dairy",,,,,,,,,,,,leprinofoods.com#http://leprinofoods.com#,,,1
75,1600,estimated,1700,estimated,1600,estimated,1700,estimated,1,1,y,,"Triumph Foods, L.L.C.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,1700,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.triumphfoods.com#http://www.triumphfoods.com#,,,3
76,1500,,1650,,2163,,2300,,0.693481276,0.717391304,y,Revenue and Emissions are for named company,Del Monte Pacific Ltd.,yes,4/30/2021,4/30/2022,,4/30/2023,no,,,,Sustainability Report,,,yes,no,"NutriAsia, Inc.",yes,,,,,,2300,,Processed Foods,,68993,,,25884,25884,yes,94877,,41.25086957,,www.delmontepacific.com#http://www.delmontepacific.com#,2022,,5
77,1800,estimated,1600,estimated,1800,,1600,estimated,1,1,y,,Associated Milk Producers Inc.,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/21/2022,no 2020 data,,yes,,_none,no,,,,,,1600,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.ampi.com#http://www.ampi.com#,,,3
78,1613,,1522,,3507,,3308,,0.459937268,0.460096735,y,Revenue is for parent; Emissions is for parent,Bonduelle N.A.,yes,6/30/2020,6/30/2021,,6/30/2022,no,,,,CSR Report,,,yes,yes,Bonduelle SCA,yes,,,,,,2203,,Processed Foods,,111391,,,42228,42228,yes,153619,,69.73172946,Bonduelle N.A.,#https://bonduelleamericas.com/#,2022,,5
79,1000,estimated,1500,,1500,estimated,1500,,0.666666667,1,y,,American Crystal Sugar Company,no,8/31/2020,8/31/2021,,,,,,,_no report as of 11/21/2022,no 2020 data,,yes,,_none,no,,,,,,1500,,Agricultural Products,,,,,,,,,,,,www.crystalsugar.com#http://www.crystalsugar.com#,,,1
80,1500,estimated,1500,estimated,1500,estimated,1600,estimated,1,0.9375,y,,Chobani Inc.,no,8/31/2020,12/31/2021,,,,,,,_no report as of 11/21/2022,no 2020 data,,yes,,_none,no,,,,,,1600,,Processed Foods,,,,,,,,,,,,www.chobani.com#http://www.chobani.com#,,,1
